"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onderwerpen,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
,Perioden,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Geslacht,Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Totaal mannen en vrouwen,25 jaar,223119,223430,225289,230754,225578,225545,225534,228621,228519,232640,228861,227228,226240,219782,214033,212314,209067,212574,212501,211891,207552,203690,199489,203409,200612,202271,204532,206416,208995,211049,213104,215317,217369,219138,220483,221519,222296,222859,223207,223302,223144,222738,222086,221216
Totaal mannen en vrouwen,26 jaar,223864,225040,225266,227375,232308,226463,225746,225981,229411,229474,233643,229957,228358,227397,220974,215258,213547,210322,213820,213760,213156,208843,205003,200832,204755,202129,203797,206029,207912,210467,212500,214538,216731,218764,220522,221857,222890,223673,224239,224594,224700,224553,224156,223516
Totaal mannen en vrouwen,27 jaar,216680,225103,226243,226678,228690,232970,226617,226002,226441,230129,230319,234527,230920,229348,228402,222012,216327,214623,211420,214906,214859,214254,209966,206145,202001,205928,203459,205132,207338,209216,211751,213766,215788,217959,219974,221716,223041,224069,224856,225424,225788,225900,225760,225372
Totaal mannen en vrouwen,28 jaar,214504,217866,225634,227127,227559,229235,232675,226631,226124,226730,230615,230912,235153,231614,230059,229125,222766,217111,215414,212229,215705,215667,215062,210798,206999,202880,206811,204490,206166,208348,210223,212741,214738,216743,218895,220892,222615,223930,224954,225742,226311,226679,226799,226664
Totaal mannen en vrouwen,29 jaar,214810,215786,218244,225978,227633,227948,229053,232251,226452,226021,226767,230818,231191,235460,231970,230431,229505,223174,217549,215857,212688,216149,216114,215511,211269,207487,203397,207327,205144,206825,208983,210855,213355,215333,217320,219452,221428,223134,224437,225460,226246,226815,227184,227309
Totaal mannen en vrouwen,30 jaar,214276,216000,216209,218404,226146,227859,227938,228663,231696,226076,225707,226584,230752,231177,235455,232003,230474,229555,223244,217645,215952,212792,216238,216206,215605,211377,207608,203539,207471,205420,207102,209236,211103,213582,215540,217508,219619,221573,223259,224550,225568,226348,226915,227282
Totaal mannen en vrouwen,31 jaar,209544,215031,216408,216396,218475,226283,227953,227721,228207,231116,225638,225334,226320,230564,231013,235300,231880,230357,229441,223143,217561,215869,212711,216143,216109,215505,211289,207528,203477,207408,205475,207161,209271,211132,213591,215527,217475,219561,221494,223162,224434,225443,226216,226780
Totaal mannen en vrouwen,32 jaar,206151,209955,215082,216539,216403,218501,226416,227805,227390,227709,230517,225172,224929,226004,230279,230744,235036,231646,230128,229210,222926,217356,215658,212507,215925,215891,215286,211078,207328,203295,207222,205397,207086,209171,211022,213469,215385,217314,219383,221296,222941,224202,225200,225965
Totaal mannen en vrouwen,33 jaar,200795,206462,209790,215003,216496,216295,218480,226255,227487,226967,227177,229939,224694,224505,225637,229924,230397,234689,231326,229809,228893,222623,217063,215365,212218,215625,215589,214984,210789,207050,203037,206960,205233,206921,208989,210834,213261,215161,217070,219116,221016,222646,223895,224885
Totaal mannen en vrouwen,34 jaar,201702,201129,206314,209630,214896,216380,216141,218275,225971,227119,226521,226680,229424,224254,224102,225276,229560,230037,234324,230986,229467,228550,222288,216740,215038,211898,215293,215259,214650,210468,206739,202737,206662,205023,206712,208764,210599,213009,214894,216787,218815,220697,222313,223548
Totaal mannen en vrouwen,35 jaar,205810,202004,200954,206051,209369,214656,216086,215755,217869,225522,226610,225954,226103,228856,223728,223604,224806,229077,229556,233839,230520,229000,228085,221825,216284,214577,211443,214824,214792,214180,210010,206289,202300,206221,204665,206357,208389,210218,212610,214479,216356,218366,220232,221832
Totaal mannen en vrouwen,36 jaar,208556,206220,201790,200638,205659,208987,214255,215572,215184,217287,224901,225947,225258,225421,228187,223096,222985,224206,228459,228943,233223,229921,228396,227477,221224,215689,213980,210847,214217,214186,213575,209413,205698,201720,205641,204162,205854,207868,209694,212068,213919,215783,217774,219623
Totaal mannen en vrouwen,37 jaar,201812,208965,206184,201505,200292,205258,208584,213751,215012,214585,216667,224241,225268,224566,224754,227538,222465,222361,223596,227836,228321,232591,229306,227776,226856,220607,215077,213366,210239,213600,213571,212956,208800,205096,201127,205045,203636,205328,207324,209146,211502,213338,215188,217161
Totaal mannen en vrouwen,38 jaar,202222,202370,209048,206118,201270,200026,204945,208188,213298,214529,214064,216125,223663,224683,223978,224196,227000,221937,221836,223081,227307,227788,232049,228779,227250,226326,220082,214556,212845,209723,213077,213050,212430,208281,204586,200627,204546,203197,204889,206871,208688,211025,212849,214687
Totaal mannen en vrouwen,39 jaar,199390,202753,202538,209006,205978,201021,199754,204574,207774,212851,214051,213551,215592,223103,224123,223420,223675,226489,221439,221337,222592,226804,227282,231534,228276,226745,225823,219584,214063,212356,209238,212581,212558,211940,207796,204106,200157,204076,202786,204474,206443,208252,210577,212387
Totaal mannen en vrouwen,40 jaar,201369,200025,202866,202511,208829,205737,200713,199401,204153,207328,212376,213551,213027,215046,222527,223554,222861,223149,225978,220934,220835,222094,226291,226768,231008,227762,226226,225308,219073,213561,211856,208742,212079,212057,211436,207301,203616,199676,203594,202360,204046,206001,207801,210117
Totaal mannen en vrouwen,41 jaar,203086,201960,200265,202859,202400,208598,205455,200379,199045,203749,206899,211917,213077,212533,214528,221986,223028,222347,222665,225504,220467,220366,221628,225807,226281,230512,227275,225741,224825,218592,213090,211387,208279,211611,211587,210965,206838,203156,199229,203143,201959,203645,205586,207381
Totaal mannen en vrouwen,42 jaar,212176,203608,202199,200353,202795,202239,208331,205177,200068,198718,203380,206504,211502,212658,212087,214064,221506,222565,221897,222242,225088,220053,219951,221216,225376,225849,230073,226844,225308,224396,218170,212677,210973,207873,211197,211171,210546,206427,202750,198830,202745,201608,203290,205218
Totaal mannen en vrouwen,43 jaar,219818,212680,203771,202256,200292,202621,201973,208019,204866,199736,198376,202994,206096,211079,212230,211637,213605,221032,222113,221456,221822,224676,219640,219536,220808,224951,225418,229640,226419,224888,223973,217755,212274,210574,207475,210790,210765,210141,206030,202359,198448,202360,201266,202946
Totaal mannen en vrouwen,44 jaar,237776,220124,212709,203673,202089,200025,202278,201600,207615,204472,199322,197945,202525,205610,210583,211739,211138,213093,220512,221609,220959,221351,224205,219176,219071,220347,224476,224942,229159,225947,224420,223505,217296,211824,210126,207032,210341,210318,209693,205591,201923,198020,201931,200876
Totaal mannen en vrouwen,45 jaar,249407,237887,220025,212509,203404,201762,199599,201858,201167,207161,204029,198859,197474,202018,205086,210052,211217,210605,212555,219964,221075,220433,220848,223702,218678,218568,219849,223967,224432,228646,225444,223919,223008,216808,211340,209644,206554,209856,209836,209209,205114,201454,197553,201464
Totaal mannen en vrouwen,46 jaar,260091,249347,237673,219753,212176,203031,201323,199141,201412,200715,206688,203568,198380,196990,201506,204564,209528,210700,210085,212030,219429,220548,219914,220349,223206,218187,218072,219358,223466,223931,228140,224948,223425,222518,216327,210865,209168,206084,209381,209363,208734,204644,200991,197095
Totaal mannen en vrouwen,47 jaar,265839,259954,249026,237322,219371,211733,202562,200860,198667,200949,200248,206206,203093,197892,196494,200983,204031,209001,210186,209566,211506,218891,220019,219392,219846,222704,217686,217573,218862,222962,223424,227627,224444,222924,222019,215836,210380,208684,205605,208896,208879,208250,204166,200517
